window,param_name,param_value,error_classical,error_quantum,advantage,time_classical,time_quantum
Extreme Strikes,moneyness,0.5,0.07258247408252996,0.07258247408252996,0.0,0.0018787384033203125,0.0056650638580322266
Extreme Strikes,moneyness,0.7,0.11398498882443718,0.11398498882443718,0.0,0.0008602142333984375,0.0004000663757324219
Extreme Strikes,moneyness,0.8,0.1686345734117928,0.1686345734117928,0.0,0.001013040542602539,0.0003490447998046875
Extreme Strikes,moneyness,0.9,0.261846854510549,0.261846854510549,0.0,0.0009610652923583984,0.0005030632019042969
Extreme Strikes,moneyness,1.0,0.306361224364044,0.306361224364044,0.0,0.0009310245513916016,0.0005910396575927734
Extreme Strikes,moneyness,1.1,0.04424770200280138,0.04424770200280138,0.0,0.001750946044921875,0.0008091926574707031
Extreme Strikes,moneyness,1.2,0.0901675842441108,0.0901675842441108,0.0,0.0018281936645507812,0.0003437995910644531
Extreme Strikes,moneyness,1.5,2.485424283999919,2.485424283999919,0.0,0.0008211135864257812,0.0003688335418701172
Extreme Strikes,moneyness,2.0,0.00021828249999887621,0.00021828249999887621,0.0,0.0007319450378417969,0.00033283233642578125
High Volatility,volatility,0.1,0.3316384127859814,0.3316384127859814,0.0,0.0007936954498291016,0.00031304359436035156
High Volatility,volatility,0.2,0.306361224364044,0.306361224364044,0.0,0.0008797645568847656,0.0003497600555419922
High Volatility,volatility,0.3,0.11982287426458113,0.11982287426458113,0.0,0.0007998943328857422,0.0003159046173095703
High Volatility,volatility,0.5,0.46431724101098637,0.46431724101098637,0.0,0.0007798671722412109,0.0003509521484375
High Volatility,volatility,0.8,1.6923434478009862,1.6923434478009862,0.0,0.0008187294006347656,0.00036263465881347656
High Volatility,volatility,1.0,2.675712522493958,2.675712522493958,0.0,0.000743865966796875,0.0002949237823486328
High Volatility,volatility,1.5,4.915641242791503,4.915641242791503,0.0,0.0008451938629150391,0.0003440380096435547
High Volatility,volatility,2.0,5.545583852459919,5.545583852459919,0.0,0.0006849765777587891,0.00035691261291503906
Short-Dated,maturity_days,1.0,0.3595357423398526,0.3595357423398526,0.0,0.0007641315460205078,0.0002980232238769531
Short-Dated,maturity_days,5.0,0.366802196432352,0.366802196432352,0.0,0.0011479854583740234,0.0004279613494873047
Short-Dated,maturity_days,10.0,0.3709795994142124,0.3709795994142124,0.0,0.0012969970703125,0.00038909912109375
Short-Dated,maturity_days,30.416666666666664,0.3770634115327133,0.3770634115327133,0.0,0.0012459754943847656,0.00032591819763183594
Short-Dated,maturity_days,91.25,0.37040968303614136,0.37040968303614136,0.0,0.0016870498657226562,0.00034117698669433594
Short-Dated,maturity_days,182.5,0.35220332229475637,0.35220332229475637,0.0,0.0009362697601318359,0.0003421306610107422
Short-Dated,maturity_days,365.0,0.306361224364044,0.306361224364044,0.0,0.0014500617980957031,0.0004038810729980469
Short-Dated,maturity_days,730.0,0.23281833091333654,0.23281833091333654,0.0,0.0008289813995361328,0.00036215782165527344
Perfect Correlation,correlation,0.0,0.024322174647874742,0.024322174647874742,0.0,0.0010073184967041016,0.0003859996795654297
Perfect Correlation,correlation,0.3,0.306361224364044,0.306361224364044,0.0,0.0008041858673095703,0.00033211708068847656
Perfect Correlation,correlation,0.5,0.3561683111976628,0.3561683111976628,0.0,0.0007500648498535156,0.0002918243408203125
Perfect Correlation,correlation,0.7,0.3653091959828294,0.3653091959828294,0.0,0.0006511211395263672,0.00026488304138183594
Perfect Correlation,correlation,0.9,0.36163429444704853,0.36163429444704853,0.0,0.0006818771362304688,0.0002739429473876953
Perfect Correlation,correlation,0.95,0.34655372603867657,0.34655372603867657,0.0,0.0006890296936035156,0.0002770423889160156
Perfect Correlation,correlation,0.99,0.32691831626764606,0.32691831626764606,0.0,0.0005748271942138672,0.00023698806762695312
Perfect Correlation,correlation,1.0,0.3268645235379704,0.3268645235379704,0.0,0.0006248950958251953,0.0002529621124267578
Dimensionality,n_assets,2.0,0.44497838746834617,0.44497838746834617,0.0,0.00047397613525390625,0.0002541542053222656
Dimensionality,n_assets,3.0,0.15700348708681594,0.15700348708681594,0.0,0.0007338523864746094,0.00021004676818847656
Dimensionality,n_assets,5.0,0.306361224364044,0.306361224364044,0.0,0.0005948543548583984,0.00025916099548339844
Dimensionality,n_assets,8.0,0.07021488968585006,0.07021488968585006,0.0,0.0006759166717529297,0.0003428459167480469
Dimensionality,n_assets,10.0,0.21860169325949208,0.21860169325949208,0.0,0.0005919933319091797,0.00030803680419921875
Dimensionality,n_assets,15.0,0.4537415653897572,0.4537415653897572,0.0,0.0006749629974365234,0.0003399848937988281
Dimensionality,n_assets,20.0,0.14756504265953985,0.14756504265953985,0.0,0.0006420612335205078,0.0003631114959716797
Dimensionality,n_assets,30.0,0.4719506306809922,0.4719506306809922,0.0,0.00063323974609375,0.0003960132598876953
